year,South America,Africa,Oceania,Europe,Asia,North America
2020,441243109,1210111694,41016729,610535641,4803078850,592674100
2021,446191569,1227750843,41450727,612188228,4853849111,598140926
2022,451140028,1245389993,41884724,613840815,4904619372,603607753
2023,456088488,1263029142,42318721,615493402,4955389633,609074580
2024,461036948,1280668292,42752719,617145989,5006159895,614541406
2025,465985407,1298307441,43186716,618798577,5056930156,620008233
2026,470933867,1315946591,43620713,620451164,5107700417,625475059
2027,475882327,1333585741,44054711,622103751,5158470678,630941886
2028,480830786,1351224890,44488708,623756338,5209240939,636408712
2029,485779246,1368864040,44922705,625408926,5260011200,641875539
2030,490727706,1386503189,45356702,627061513,5310781462,647342366
2031,495676165,1404142339,45790700,628714100,5361551723,652809192
2032,500624625,1421781488,46224697,630366687,5412321984,658276019
2033,505573085,1439420638,46658694,632019275,5463092245,663742845
2034,510521544,1457059788,47092692,633671862,5513862506,669209672
2035,515470004,1474698937,47526689,635324449,5564632767,674676499
2036,520418463,1492338087,47960686,636977036,5615403028,680143325
2037,525366923,1509977236,48394684,638629624,5666173290,685610152
2038,530315383,1527616386,48828681,640282211,5716943551,691076978
2039,535263842,1545255536,49262678,641934798,5767713812,696543805
2040,540212302,1562894685,49696676,643587385,5818484073,702010631
2041,545160762,1580533835,50130673,645239972,5869254334,707477458
2042,550109221,1598172984,50564670,646892560,5920024595,712944285
2043,555057681,1615812134,50998668,648545147,5970794857,718411111
2044,560006141,1633451283,51432665,650197734,6021565118,723877938
2045,564954600,1651090433,51866662,651850321,6072335379,729344764
2046,569903060,1668729583,52300659,653502909,6123105640,734811591
2047,574851520,1686368732,52734657,655155496,6173875901,740278417
2048,579799979,1704007882,53168654,656808083,6224646162,745745244
2049,584748439,1721647031,53602651,658460670,6275416424,751212071
2050,589696899,1739286181,54036649,660113258,6326186685,756678897
2051,594645358,1756925330,54470646,661765845,6376956946,762145724
2052,599593818,1774564480,54904643,663418432,6427727207,767612550
2053,604542278,1792203630,55338641,665071019,6478497468,773079377
2054,609490737,1809842779,55772638,666723607,6529267729,778546204
2055,614439197,1827481929,56206635,668376194,6580037991,784013030
2056,619387657,1845121078,56640633,670028781,6630808252,789479857
2057,624336116,1862760228,57074630,671681368,6681578513,794946683
2058,629284576,1880399377,57508627,673333955,6732348774,800413510
2059,634233036,1898038527,57942625,674986543,6783119035,805880336
